;; Stand 7.7.2017
;; https://www.volleyball.nrw/fileadmin/user_upload/%C3%9Cbersicht_wvv_ligen_2016.pdf
;; über https://www.volleyball.nrw/spielwesen/phoenixaufsteiger/ergebnisdienst/
61164;Bezirksliga 12 WU20;
61179;Bezirksliga 13 WU20;
60310;Bezirksliga 14 WU20;
59549;Bezirksliga 15 WU20;
57290;NRW-Liga WU18;
57299;Oberliga 1 WU18;
57300;Oberliga 2 WU18;
57301;Oberliga 3 WU18;
57303;Oberliga 4 WU18;
57304;Oberliga 5 WU18;
57305;Oberliga 6 WU18;
57306;Oberliga 7 WU18;
61190;Bezirksliga 1 WU18;
61238;Bezirksliga 2 WU18;
60915;Bezirksliga 3 WU18;
59793;Bezirksliga 4 WU18;
59791;Bezirksliga 5 WU18;
60519;Bezirksliga 6 WU18;
59790;Bezirksliga 7 WU18;
59788;Bezirksliga 8 WU18;
59139;Bezirksliga 9 WU18;
58635;Bezirksliga 10 WU18;
59132;Bezirksliga 11 WU18;
59137;Bezirksliga 12 WU18;
59133;Bezirksliga 13 WU18;
61066;Bezirksliga 14 WU18;
61050;Bezirksliga 15 WU18;
61023;Bezirksliga 16 WU18;
59757;Bezirksliga 17 WU18;
60626;Bezirksliga 18 WU18;
59926;Bezirksliga 19 WU18;
60064;Bezirksliga 20 WU18;
61182;Bezirksliga 21 WU18;
57287;NRW-Liga WU16;
57307;Oberliga 1 WU16;
57308;Oberliga 2 WU16;
57309;Oberliga 3 WU16;
57310;Oberliga 4 WU16;
61483;Oberliga 5 WU16;
57312;Oberliga 6 WU16;
60922;Bezirksliga 1 WU16;
61188;Bezirksliga 2 WU16;
60923;Bezirksliga 3 WU16;
61189;Bezirksliga 4 WU16;
59796;Bezirksliga 5 WU16;
59972;Bezirksliga 6 WU16;
60521;Bezirksliga 7 WU16;
59792;Bezirksliga 8 WU16;
59140;Bezirksliga 9 WU16;
58636;Bezirksliga 10 WU16;
59138;Bezirksliga 11 WU16;
59134;Bezirksliga 12 WU16;
59135;Bezirksliga 13 WU16;
61007;Bezirksliga 14 WU16;
61438;Bezirksliga 15 WU16;
61250;Bezirksliga 16 WU16;
60506;Bezirksliga 17 WU16;
61930;Bezirksliga 18 WU16;
61353;Bezirksliga 19 WU16;
60369;Bezirksliga 20 WU16;
57840;Oberliga 1 U13;
57860;Oberliga 2 U13;
57861;Oberliga 3 U13;
57862;Oberliga 4 U13;
57863;Oberliga 5 U13;
57864;Oberliga 6 U13;
57865;Oberliga 7 U13;
57866;Oberliga 8 U13;
57867;Oberliga 9 U13;
7868;Oberliga 10 U13;
